,name,size,price,proof,type
211,BELVEDERE VODKA 80,1 L,$44.99 ,80,Vodka
212,ABSOLUT CITRON VDK 80,750 ML (Standard),$21.99 ,80,Vodka
213,KETEL ONE CITROEN VDK 80,1.75 L (Large),$32.99 ,80,Vodka
214,SMIRNOFF FLV KISSED CARAMEL 60,1.75 L (Large),$22.99 ,60,Vodka
215,SMIRNOFF FLV GRN APPLE 70,1.75 L (Large),$22.99 ,70,Vodka
216,CIROC APPLE VDK 70,750 ML (Standard),$35.99 ,70,Vodka
217,CIROC VODKA 80,1.75 L (Large),$51.99 ,80,Vodka
218,SMIRNOFF FLV BLUEBERRY 70,750 ML (Standard),$14.99 ,70,Vodka
219,SMIRNOFF FLV STRAWBERRY 70,750 ML (Standard),$14.99 ,70,Vodka
220,CIROC MANGO VDK 70,750 ML (Standard),$35.99 ,70,Vodka
221,NEW AMSTERDAM RED BERRY VDK 70,1.75 L (Large),$23.99 ,70,Vodka
222,KETEL RTD SPRITZ CUC MINT 4 PK,4pk,$14.49 ,PK,Vodka
223,NEW AMSTERDAM WATERMELON VDK 70,1.75 L (Large),$23.99 ,70,Vodka
224,KETEL RTD SPRITZ GRAPE ROSE 4 PK,4pk,$14.49 ,PK,Vodka
225,KETEL RTD SPRITZ PEACH ORNG 4 PK,4pk,$14.49 ,PK,Vodka
226,SMIRNOFF FLV CHERRY 70,750 ML (Standard),$14.99 ,70,Vodka
227,BURNETTS CHERRY VDK 70,1.75 L (Large),$14.99 ,70,Vodka
228,SVEDKA BLUE RASPBERRY 70,1.75 L (Large),$15.99 ,70,Vodka
229,DEEP EDDY CRANBERRY VDK 70,750 ML (Standard),$17.99 ,70,Vodka
230,DEEP EDDY LEMON VDK 70,750 ML (Standard),$17.99 ,70,Vodka
231,CHOPIN SMALL BATCH VDK 80,750 ML (Standard),$24.99 ,80,Vodka
232,NEW AMSTERDAM PINEAPPLE VDK 70,750 ML (Standard),$15.49 ,70,Vodka
233,SVEDKA STRAW LEMON 70,1.75 L (Large),$15.99 ,70,Vodka
234,SMIRNOFF FLV PEACH 70,750 ML (Standard),$14.99 ,70,Vodka
235,DEEP EDDY ORANGE VDK 70,1.75 L (Large),$22.99 ,70,Vodka
236,ABSOLUT PEARS VDK 80,750 ML (Standard),$21.99 ,80,Vodka
237,SVEDKA STRAW LEMON 70,750 ML (Standard),$10.99 ,70,Vodka
238,ABSOLUT MANDRIN VDK 80,1.75 L (Large),$29.99 ,80,Vodka
239,ABSOLUT WATERMELON VDK 76,750 ML (Standard),$21.99 ,76,Vodka
240,SVEDKA CITRON 70,1.75 L (Large),$15.99 ,70,Vodka
241,ABSOLUT MANDRIN VDK 80,750 ML (Standard),$21.99 ,80,Vodka
242,NEW AMSTERDAM COCONUT VDK 70,1.75 L (Large),$23.99 ,70,Vodka
243,STOLI FLV RAZBERI 70,1.75 L (Large),$29.99 ,70,Vodka
244,CIROC COCONUT VDK 70,1.75 L (Large),$51.99 ,70,Vodka
245,GREY GOOSE LE CITRON 80,750 ML (Standard),$27.99 ,80,Vodka
246,KETEL ONE ORANJE VDK 80,750 ML (Standard),$21.99 ,80,Vodka
247,CIROC COCONUT VDK 70,750 ML (Standard),$35.99 ,70,Vodka
248,STOLICHNAYA VODKA 80,750 ML (Standard),$19.99 ,80,Vodka
249,KETEL ONE CITROEN VDK 80,750 ML (Standard),$21.99 ,80,Vodka
250,SVEDKA MANGO PINEAPPLE 70,1.75 L (Large),$15.99 ,70,Vodka
251,NEW AMSTERDAM GRAPEFRUIT VDK 70,750 ML (Standard),$15.49 ,70,Vodka
252,ABSOLUT GRAPEFRUIT VDK 80,750 ML (Standard),$21.99 ,80,Vodka
253,DEEP EDDY SWEET TEA VDK 70,750 ML (Standard),$17.99 ,70,Vodka
254,DEEP EDDY RUBY RED VDK 70,750 ML (Standard),$17.99 ,70,Vodka
255,LUKSUSOWA VODKA 80,750 ML (Standard),$12.99 ,80,Vodka
256,SVEDKA RASPBERRY 70,1.75 L (Large),$15.99 ,70,Vodka
257,SVEDKA MANGO PINEAPPLE 70,750 ML (Standard),$10.99 ,70,Vodka
258,NEW AMSTERDAM GRAPEFRUIT VDK 70,1.75 L (Large),$23.99 ,70,Vodka
259,NEW AMSTERDAM WATERMELON VDK 70,750 ML (Standard),$15.49 ,70,Vodka
260,EFFEN VODKA 80,750 ML (Standard),$22.99 ,80,Vodka
261,SMIRNOFF FLV PINEAPPLE 70,750 ML (Standard),$14.99 ,70,Vodka
262,ABSOLUT LIME VDK 80,750 ML (Standard),$21.99 ,80,Vodka
263,SVEDKA BLUE RASPBERRY 70,750 ML (Standard),$10.99 ,70,Vodka
264,CIROC PEACH VDK 70,1.75 L (Large),$51.99 ,70,Vodka
265,CIROC APPLE VDK 70,1.75 L (Large),$51.99 ,70,Vodka
266,NEW AMSTERDAM GLUTEN FREE VDK 80,1.75 L (Large),$21.99 ,80,Vodka
267,HAKU VODKA 80,750 ML (Standard),$29.99 ,80,Vodka
268,NEW AMSTERDAM LEMON VDK 70,1.75 L (Large),$23.99 ,70,Vodka
269,GREY GOOSE LA POIRE 80,750 ML (Standard),$27.99 ,80,Vodka
270,GREY GOOSE L'ORANGE 80,750 ML (Standard),$27.99 ,80,Vodka
271,DEEP EDDY VODKA 80,750 ML (Standard),$17.99 ,80,Vodka
272,NEW AMSTERDAM PEACH VDK 70,750 ML (Standard),$15.49 ,70,Vodka
273,STOLI FLV BLUEBERI 70,1.75 L (Large),$29.99 ,70,Vodka
274,EFFEN BLOOD ORANGE VDK 75,750 ML (Standard),$22.99 ,75,Vodka
275,GORDONS VODKA 80,1.75 L (Large),$21.99 ,80,Vodka
276,STOLI FLV VANIL 70,750 ML (Standard),$19.99 ,70,Vodka
277,CIROC RED BERRY VDK 70,1.75 L (Large),$51.99 ,70,Vodka
278,NEW AMSTERDAM RASPBERRY VDK 70,1.75 L (Large),$23.99 ,70,Vodka
279,PLUME & PETAL LEMON 40,Other,$18.99 ,40,Vodka
280,GRAINGERS ORG VODKA 80,1.75 L (Large),$22.99 ,80,Vodka
281,STOLI FLV LIME 75,750 ML (Standard),$19.99 ,75,Vodka
282,CIROC PINEAPPLE VDK 70,1.75 L (Large),$51.99 ,70,Vodka
283,BURNETTS CITRUS VDK 70,1.75 L (Large),$14.99 ,70,Vodka
284,DEEP EDDY LIME VDK 70,1.75 L (Large),$22.99 ,70,Vodka
285,RUSSIAN STND VODKA 80,750 ML (Standard),$16.99 ,80,Vodka
286,NEW AMSTERDAM LEMON VDK 70,750 ML (Standard),$15.49 ,70,Vodka
287,BELUGA VODKA 80,750 ML (Standard),$34.99 ,80,Vodka
288,SKYY INF GEORGIA PEACH VDK 70,750 ML (Standard),$13.99 ,70,Vodka
289,NEW AMSTERDAM COCONUT VDK 70,750 ML (Standard),$15.49 ,70,Vodka
290,NEW AMSTERDAM MANGO VDK 70,1.75 L (Large),$23.99 ,70,Vodka
291,SMIRNOFF FLV PEACH 70,1.75 L (Large),$22.99 ,70,Vodka
292,STOLI FLV VANIL 70,1.75 L (Large),$29.99 ,70,Vodka
293,PLUME & PETAL PEACH 40,Other,$18.99 ,40,Vodka
294,NEW AMSTERDAM VODKA 100,1.75 L (Large),$24.99 ,100,Vodka
295,NEW AMSTERDAM VODKA 100,750 ML (Standard),$18.99 ,100,Vodka
296,BLANCHARDS VODKA 80,1.75 L (Large),$11.99 ,80,Vodka
297,STOLI FLV BLUEBERI 70,750 ML (Standard),$19.99 ,70,Vodka
298,DEEP EDDY PEACH VDK 70,1.75 L (Large),$22.99 ,70,Vodka
299,SOBIESKI VODKA 80,750 ML (Standard),$12.99 ,80,Vodka
300,NEW AMSTERDAM MANGO VDK 70,750 ML (Standard),$15.49 ,70,Vodka
301,SKYY INF BLOOD ORANGE VDK 70,750 ML (Standard),$13.99 ,70,Vodka
302,NEW AMSTERDAM RED BERRY VDK 70,750 ML (Standard),$15.49 ,70,Vodka
303,SKYY INF WILD STRAWBRY VDK 70,750 ML (Standard),$13.99 ,70,Vodka
304,SMIRNOFF FLV PINEAPPLE 70,1.75 L (Large),$22.99 ,70,Vodka
305,CROP ORGANIC VODKA 70,750 ML (Standard),$19.99 ,70,Vodka
306,ABSOLUT APEACH VDK 80,750 ML (Standard),$21.99 ,80,Vodka
307,EFFEN RASPBERRY VDK 75,750 ML (Standard),$22.99 ,75,Vodka
308,GREY GOOSE L'ORANGE 80,1.75 L (Large),$49.99 ,80,Vodka
309,SKYY INF CHERRY VDK 70,750 ML (Standard),$13.99 ,70,Vodka
310,SVEDKA CUCUMBER LIME 70,1.75 L (Large),$15.99 ,70,Vodka
311,STOLI FLV RAZBERI 70,750 ML (Standard),$19.99 ,70,Vodka
312,SVEDKA PEACH 70,1.75 L (Large),$15.99 ,70,Vodka
313,SMIRNOFF FLV RASPBERRY 70,750 ML (Standard),$14.99 ,70,Vodka
314,RUBINOFF RASPBERRY VDK 60,1.75 L (Large),$11.99 ,60,Vodka
315,BERKSHIRE DIST ICE GLEN VODKA 80,750 ML (Standard),$19.99 ,80,Vodka
316,DEEP EDDY PEACH VDK 70,750 ML (Standard),$17.99 ,70,Vodka
317,ABSOLUT MANGO VDK 80,750 ML (Standard),$21.99 ,80,Vodka
318,SKYY INF PINEAPPLE VDK 70,750 ML (Standard),$13.99 ,70,Vodka
319,CROP LEMON VODKA 70,750 ML (Standard),$19.99 ,70,Vodka
320,HAMMER & SICKLE VODKA 80,750 ML (Standard),$21.49 ,80,Vodka
321,SVEDKA ROSE 60,1.75 L (Large),$15.99 ,60,Vodka
322,CIROC MANGO VDK 70,1.75 L (Large),$51.99 ,70,Vodka
323,BELVEDERE VODKA 80,750 ML (Standard),$35.99 ,80,Vodka
